hour,purchase bid,sell bid,mcv,fsv,mcp
24.0,6414.725,13732.349999999999,5131.65,5131.65,2346.19
1.0,6332.175,15202.9,5133.375,5133.375,2222.1324999999997
2.0,6729.65,18087.6,5662.85,5662.85,2093.8450000000003
3.0,6927.55,19035.65,5983.075,5983.075,1991.5125
4.0,6822.025,19419.1,5937.375,5937.375,1876.9925
5.0,6323.475,18671.050000000003,5408.325,5408.325,1896.6399999999999
6.0,7108.625,15719.875,6008.8,6008.8,2249.5
7.0,9987.975,13423.075,9051.625,9051.625,2848.815
8.0,12997.075,11361.074999999999,10721.05,10721.05,4306.34
9.0,13386.1,9639.975,9514.475,9514.475,5775.275
10.0,13427.4,9440.725,9327.725,9327.725,6050.2975
11.0,12185.5,9464.65,8983.5075,8983.505000000001,4171.2875
12.0,11225.225,9562.4,8428.075,8428.075,3562.875
13.0,10158.724999999999,9785.65,7911.575,7911.575,3222.7725
14.0,7914.25,11717.9,6647.225,6647.225,2759.7125
15.0,8078.5,13655.85,7034.2275,7034.2275,2570.9875
16.0,9624.7,13324.725,8499.05,8499.05,2764.605
17.0,11456.9,11844.975,9653.6525,9653.6525,3095.7975
18.0,10398.325,9657.95,8419.56,8419.56,3158.315
19.0,13256.9,10037.025,9687.0,9687.0,4943.474999999999
20.0,14086.45,9685.975,9412.975,9412.975,5188.4225
21.0,9882.6,9803.55,8046.5275,8046.5275,3430.1075
22.0,7058.8,10410.45,6127.125,6127.125,2625.17
23.0,5671.95,12248.25,4516.85,4516.85,2224.57
24.0,6296.85,13688.275,5014.475,5014.475,2377.175
1.0,6211.275,15125.099999999999,4852.3,4852.3,2364.83
2.0,6798.975,18426.5,5604.75,5604.75,2302.9175
3.0,6944.0,19832.15,5927.4,5927.4,2121.7275
4.0,6877.45,20155.699999999997,5908.8,5908.8,2056.5550000000003
5.0,6925.625,19194.85,5840.05,5840.05,2208.2875
6.0,7786.1,16035.625,6103.325,6103.325,2528.6175
7.0,10092.275,13054.224999999999,8957.1775,8957.1775,3066.69
8.0,11577.5,10984.349999999999,9838.3825,9838.3825,3875.08
9.0,11833.324999999999,9268.25,8810.275,8810.275,4990.4025
10.0,10950.125,8777.625,8059.0125,8059.0125,4498.7300000000005
11.0,9748.65,8416.05,7226.5325,7226.535,3618.365
12.0,9257.775,9113.6,6976.35,6976.3475,3272.44
13.0,8990.975,9111.7,6913.65,6913.65,3269.6949999999997
14.0,7176.6,10979.675,6109.95,6109.95,2801.9525
15.0,7170.2,12878.1,6334.475,6334.475,2676.0275
16.0,7959.025,12381.8,7129.3,7129.3,2708.585
17.0,8732.95,11072.25,7797.675,7797.675,2855.0375
18.0,6818.349999999999,9240.4,5922.35,5922.35,2574.515
19.0,9303.425,9934.275,7923.195,7923.195,3284.84
20.0,11873.0,9743.825,9422.35,9422.35,4713.76
21.0,9201.45,9989.75,7702.02,7702.02,3392.9075000000003
22.0,6539.625,10898.425,5579.1,5579.1,2797.6675
23.0,5877.6,14126.25,4302.4,4302.4,2404.0775000000003
24.0,6511.85,15601.55,4804.6,4804.6,2402.005
1.0,5382.175,17215.4,4631.7,4631.7,2000.1275
2.0,5829.725,20057.550000000003,5046.325,5046.325,2024.9475
3.0,6288.1,21498.5,5580.7,5580.7,1999.515
4.0,6210.7,21878.1,5512.8,5512.8,1952.8925
5.0,6031.9,20538.75,5185.175,5185.175,2050.5625
6.0,5190.85,16766.4,4366.45,4366.45,2098.315
7.0,7469.175,13470.275,6864.25,6864.25,2666.91
8.0,10029.225,11865.15,9112.2075,9112.2075,3185.0375
9.0,11502.775,10135.95,9030.985,9030.9875,4385.0275
10.0,11793.35,9384.8,8552.77,8552.7725,5150.185
11.0,11199.55,8993.75,8049.425,8049.425,4585.04
12.0,9677.9,9351.05,7114.8,7114.8,3387.7225
13.0,8478.85,9350.3,6471.575,6471.575,3179.6375
14.0,6961.65,11144.875,5727.1275,5727.1275,2844.8125
